Date,BANK,GOLD,NIFTY,SILVER
2009-02-01,38.900001525878906,15.07900047302246,28.016000747680664,
2009-03-01,41.20000076293945,14.934399604797363,30.30599975585937,
2009-04-01,51.0,14.379899978637695,34.849998474121094,
2009-05-01,75.0,14.670000076293944,44.60699844360352,
2009-06-01,74.05000305175781,14.42549991607666,43.540000915527344,
2009-07-01,75.59500122070312,14.557900428771973,46.13800048828125,
2009-08-01,75.0,15.050000190734863,46.744998931884766,
2009-09-01,88.69999694824219,15.468500137329102,50.47700119018555,
2009-10-01,85.0,15.729999542236328,47.55899810791016,
2009-11-01,90.01000213623047,17.450000762939453,50.3120002746582,
2009-12-01,90.5,16.520000457763672,52.17100143432617,
2010-01-01,86.38480377197266,16.080150604248047,49.69499969482422,
2010-02-01,86.45999908447266,16.506399154663086,49.29999923706055,
2010-03-01,95.0999984741211,16.082300186157227,52.60499954223633,
2010-04-01,98.8010025024414,16.711999893188477,52.40499877929688,
2010-05-01,93.6999969482422,17.972999572753906,50.630001068115234,
2010-06-01,95.2689971923828,18.5310001373291,53.275001525878906,
2010-07-01,102.0500030517578,17.530000686645508,54.18999862670898,
2010-08-01,107.6999969482422,18.57999992370605,54.45500183105469,
2010-09-01,123.25,18.829500198364254,60.150001525878906,
2010-10-01,123.13099670410156,18.95050048828125,60.79800033569336,
2010-11-01,120.72799682617188,19.90250015258789,59.604000091552734,
2010-12-01,118.77100372314452,20.099000930786133,61.880001068115234,
2011-01-01,106.48699951171876,19.5629997253418,55.46799850463867,
2011-02-01,104.63999938964844,20.19700050354004,54.1609992980957,
2011-03-01,117.13400268554688,20.243000030517575,58.43299865722656,
2011-04-01,114.46099853515624,21.56599998474121,57.95199966430664,
2011-05-01,109.73500061035156,21.90449905395508,56.27000045776367,
2011-06-01,112.78199768066406,21.337499618530277,56.99399948120117,
2011-07-01,111.15399932861328,22.311500549316406,56.367000579833984,
2011-08-01,95.9000015258789,25.895000457763672,50.900001525878906,
2011-09-01,96.427001953125,25.20599937438965,50.03799819946289,
2011-10-01,100.94300079345705,25.99449920654297,53.8849983215332,
2011-11-01,86.8479995727539,27.66699981689453,49.06800079345703,
2011-12-01,80.21199798583984,26.102500915527344,47.005001068115234,
2012-01-01,99.65899658203124,27.06599998474121,52.5880012512207,
2012-02-01,105.35796356201172,27.525360107421875,55.14599990844727,
2012-03-01,102.2295913696289,27.197479248046875,53.33300018310547,
2012-04-01,102.80309295654295,27.960620880126957,52.51399993896485,
